,host_listings_count,host_total_listings_count,bathrooms,bedrooms,beds
7987,3.0,3.0,1.0,1.0,1.0
7988,7.0,7.0,2.0,1.0,1.0
7989,78.0,111.0,2.0,2.0,2.0
7990,1.0,2.0,2.0,4.0,6.0
7991,31.0,131.0,1.0,2.0,4.0
7992,1.0,2.0,1.0,2.0,2.0
7993,1.0,1.0,3.0,4.0,5.0
7994,1.0,1.0,3.0,4.0,12.0
7995,1.0,6.0,1.0,1.0,1.0
7996,1.0,1.0,1.0,1.0,1.0
7997,76.0,101.0,1.0,2.0,2.0
7998,1.0,1.0,2.0,3.0,4.0
7999,1.0,2.0,1.5,1.0,2.3
8000,1.0,1.0,1.5,4.0,2.3
8001,4.0,4.0,2.0,2.0,2.0
8002,842.0,921.0,1.0,2.0,2.0
8003,1.0,3.0,1.0,1.0,1.0
8004,15.0,23.0,1.0,3.0,4.0
8005,1.0,3.0,1.0,1.0,2.0
8006,2.0,2.0,1.0,1.0,1.0
8007,1.0,2.0,1.0,2.0,2.0
8008,23.0,31.0,2.0,3.0,3.0
8009,15.0,23.0,1.0,0.0,1.0
8010,129.0,168.0,2.0,2.0,3.0
8011,1.0,1.0,1.0,2.0,2.0
8012,842.0,921.0,1.0,2.0,3.0
8013,842.0,921.0,1.0,0.0,0.0
8014,6.0,6.0,1.0,1.0,4.0
8015,6.0,7.0,2.0,4.0,4.0
8016,14.0,36.0,2.0,2.0,3.0
8017,3.0,3.0,1.0,1.0,1.0
8018,26.0,31.0,1.5,1.0,2.3
8019,1.0,1.0,1.0,1.0,1.0
8020,2.0,2.0,1.0,1.0,2.0
8021,1.0,3.0,1.0,2.0,2.0
8022,1.0,2.0,2.0,2.0,4.0
8023,237.0,354.0,1.0,1.0,1.0
8024,30.0,278.0,2.0,2.0,3.0
8025,1.0,1.0,1.0,2.0,3.0
8026,6.0,11.0,2.0,3.0,3.0
8027,2.0,2.0,1.0,1.0,1.0
8028,78.0,84.0,1.5,3.0,3.0
8029,1.0,2.0,1.0,1.0,1.0
8030,41.0,43.0,1.5,2.0,2.3
8031,6.0,6.0,1.0,1.0,1.0
8032,1.0,1.0,2.0,2.0,3.0
8033,1.0,1.0,1.5,2.0,2.3
8034,2.0,2.0,1.0,2.0,2.0
8035,1.0,1.0,2.0,3.0,3.0
8036,1.0,1.0,1.0,2.0,2.0
8037,1.0,1.0,1.0,1.0,1.0
8038,62.0,217.0,1.0,4.0,4.0
8039,2.0,8.0,1.0,1.0,1.0
8040,1.0,1.0,1.0,1.0,1.0
8041,1.0,1.0,1.0,2.0,3.0
8042,1.0,1.0,1.0,2.0,2.0
8043,2.0,2.0,1.0,2.0,3.0
8044,2.0,2.0,1.0,3.0,3.0
8045,1.0,1.0,1.0,2.0,2.0
8046,3.0,3.0,1.0,1.0,2.0
8047,1.0,1.0,1.0,1.0,1.0
8048,1.0,5.0,2.0,2.0,2.0
8049,30.0,33.0,1.0,1.0,2.0
8050,109.0,115.0,1.0,2.0,2.0
8051,15.0,29.0,1.0,1.0,1.0
8052,15.0,29.0,1.0,1.0,1.0
8053,3.0,3.0,1.0,1.0,1.0
8054,6.0,7.0,1.5,2.0,2.0
8055,11.0,12.0,2.0,2.0,4.0
8056,1.0,1.0,2.0,1.0,1.0
8057,1.0,3.0,1.0,0.0,1.0
8058,2.0,6.0,2.0,3.0,4.0
8059,1.0,1.0,3.5,5.0,6.0
8060,1.0,1.0,3.5,4.0,4.0
8061,1.0,1.0,2.0,3.0,4.0
8062,129.0,168.0,1.5,2.0,2.3
8063,49.0,58.0,2.0,2.0,2.0
8064,1.0,3.0,1.0,1.0,2.0
8065,1.0,1.0,2.5,4.0,5.0
8066,1.0,6.0,1.5,1.0,2.3
8067,1.0,1.0,2.0,2.0,3.0
8068,29.0,36.0,1.0,2.0,3.0
8069,1.0,1.0,1.0,1.0,1.0
8070,1.0,1.0,1.0,2.0,2.0
8071,41.0,43.0,2.0,2.0,4.0
8072,3.0,3.0,1.0,1.0,1.0
8073,4.0,8.0,1.0,0.0,1.0
8074,1.0,1.0,1.0,2.0,1.0
8075,14.0,17.0,1.0,0.0,1.0
8076,1.0,2.0,2.0,4.0,4.0
8077,1.0,1.0,1.0,1.0,1.0
8078,3.0,4.0,3.0,1.0,1.0
8079,6.0,7.0,1.0,1.0,1.0
8080,1.0,3.0,1.0,1.0,1.0
8081,129.0,168.0,2.0,2.0,3.0
8082,1.0,1.0,1.0,1.0,1.0
8083,6.0,7.0,1.0,2.0,2.0
8084,31.0,67.0,2.5,3.0,4.0
8085,60.0,97.0,1.0,2.0,2.0
8086,2.0,3.0,1.5,3.0,2.3
8087,70.0,73.0,1.0,3.0,6.0
8088,41.0,43.0,1.0,1.0,2.0
8089,237.0,354.0,1.0,2.0,2.0
8090,35.0,41.0,2.0,2.0,2.0
8091,75.0,330.0,1.0,2.0,2.0
8092,12.0,12.0,1.0,2.0,2.0
8093,1.0,1.0,2.0,2.0,1.0
8094,9.0,16.0,2.5,3.0,4.0
8095,6.0,6.0,1.0,1.0,1.0
8096,3.0,3.0,2.0,4.0,4.0
8097,842.0,921.0,1.0,0.0,0.0
